visit_id,confirm_count,start_count,step_1_count,step_2_count,step_3_count,confirm_time,start_time,step_1_time,step_2_time,step_3_time,client_id,visitor_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
100037962_47432393712_705583,0,2,1,0,0,0.0,62.0,8.0,0.0,0.0,5623007,700426174_33289797318,16.0,202.0,78.0,M,2.0,146827.14,5.0,8.0
100057941_88477660212_944512,0,1,2,2,1,0.0,30.0,53.5,45.0,27.0,4823947,611052344_43146965242,7.0,86.0,52.0,U,2.0,47340.11,5.0,8.0
10006594_66157970412_679648,0,1,1,1,1,0.0,10.0,10.0,84.0,249.0,3479519,194422203_56127484794,12.0,150.0,52.5,F,2.0,349316.66,2.0,5.0
10007589_47780784567_391490,0,1,1,1,1,0.0,167.0,46.0,181.0,327.0,5477656,164180384_39691984082,10.0,122.0,54.0,M,2.0,24706.77,1.0,4.0
100096068_8301717872_987164,0,1,0,0,0,0.0,13.0,0.0,0.0,0.0,8306812,987870350_90903222476,9.0,110.0,31.0,M,2.0,37853.69,3.0,6.0
100105975_18174738494_196339,0,1,0,0,0,0.0,13.0,0.0,0.0,0.0,9852814,445403329_35219697304,10.0,126.0,71.0,M,2.0,53955.97,3.0,6.0
100195539_90558871716_822894,0,2,1,0,0,0.0,17.0,329.0,0.0,0.0,8050938,126612290_95174242254,16.0,201.0,76.0,M,3.0,857143.38,5.0,8.0
10024125_38177552152_999695,0,1,0,0,0,0.0,21.0,0.0,0.0,0.0,3852267,662624447_15868585035,29.0,353.0,75.0,F,3.0,2508197.52,4.0,7.0
100254180_47139859079_984581,0,1,1,1,1,0.0,52.0,52.0,57.0,180.0,984526,101850349_35918274798,7.0,94.0,65.5,U,2.0,72458.5,6.0,9.0
100309269_21684743336_936307,0,1,1,1,1,0.0,19.0,29.0,84.0,108.0,7224020,749093873_67448715439,8.0,103.0,50.5,U,2.0,43249.65,1.0,4.0
10045388_98429038488_557266,0,3,1,1,0,0.0,38.666666666666664,3.0,93.0,0.0,9268742,792754642_43126250607,5.0,60.0,25.0,U,2.0,27584.05,1.0,4.0
100471971_3065983298_584030,0,1,1,1,1,0.0,13.0,4.0,62.0,75.0,3673713,329225835_32749870783,5.0,66.0,42.0,F,2.0,960255.58,2.0,5.0
100481857_71511233596_788753,0,1,1,2,2,0.0,27.0,11.0,42.5,326.5,6235268,576826051_41603257498,11.0,142.0,47.5,M,2.0,42969.78999999999,2.0,5.0
100535920_68686957750_105554,0,1,1,0,0,0.0,23.0,11.0,0.0,0.0,1066226,188911573_4887020909,6.0,83.0,46.0,U,2.0,43519.61,4.0,7.0
100583476_33244068453_144866,0,1,1,1,0,0.0,57.0,53.0,58.0,0.0,8187622,654697517_66879412556,9.0,108.0,66.0,F,2.0,141339.76,5.0,8.0
100608591_65788886975_921579,0,1,1,1,1,0.0,6.0,19.0,55.0,24.0,8860154,171628625_71529959986,7.0,88.0,26.0,U,2.0,36200.28,0.0,3.0
100665997_91063490926_34691,0,1,1,1,0,0.0,14.0,9.0,65.0,0.0,237182,953181723_60418221573,4.0,58.0,23.0,M,3.0,69298.4,5.0,8.0
100696989_79957693336_140112,0,1,0,0,0,0.0,4.0,0.0,0.0,0.0,9573973,317483006_44421735131,7.0,91.0,31.0,U,3.0,1776167.77,6.0,9.0
100733473_61604582110_215085,0,1,1,1,1,0.0,44.0,62.0,117.0,112.0,9956593,796366357_61502526993,15.0,190.0,61.5,F,3.0,26576.08,5.0,8.0
100742196_25888718318_18393,0,1,1,1,1,0.0,8.0,9.0,42.0,85.0,5730234,558636796_82213000262,15.0,180.0,62.5,M,2.0,46154.41,6.0,9.0
100768839_4432812320_405870,0,1,1,1,1,0.0,43.0,38.0,149.0,217.0,3467432,489428393_80814260142,8.0,105.0,72.5,F,2.0,60536.32,6.0,9.0
100810638_79925673386_145828,0,1,0,0,0,0.0,12.0,0.0,0.0,0.0,8342684,220532119_57925398454,5.0,70.0,32.0,F,2.0,27595.81,6.0,9.0
100847537_74227021314_737120,0,1,0,0,0,0.0,22.0,0.0,0.0,0.0,9957303,255535777_47367811760,10.0,122.0,36.0,M,2.0,78194.09,4.0,7.0
100911179_58982643631_833777,0,1,1,1,1,0.0,13.0,16.0,171.0,95.0,7922438,75702425_29370405984,5.0,67.0,46.5,U,2.0,52794.48,3.0,6.0
100982387_94833499276_254813,0,1,1,1,1,0.0,18.0,4.0,98.0,60.0,4337769,709444316_87034594669,5.0,69.0,29.5,M,2.0,92961.9,6.0,9.0
100990512_10313858825_28429,0,1,2,2,1,0.0,16.0,15.5,409.5,315.0,1262277,955657701_1351204055,15.0,189.0,44.0,M,2.0,98062.83,6.0,9.0
101018131_98163417200_901367,0,2,0,0,0,0.0,86.5,0.0,0.0,0.0,3624120,505552672_42553050297,14.0,178.0,50.0,F,2.0,130918.7,5.0,8.0
101094131_85383261552_788150,0,1,0,0,0,0.0,46.0,0.0,0.0,0.0,4496382,865568014_59222267457,5.0,71.0,55.0,U,3.0,51041.15,2.0,5.0
101120116_70489660261_84827,0,1,1,1,1,0.0,19.0,46.0,238.0,130.0,4871055,836089173_74799476509,15.0,190.0,48.5,F,3.0,107684.59,0.0,3.0
101127163_76213781950_64100,0,1,2,2,1,0.0,28.0,11.0,76.5,59.0,5102064,648474362_94865778040,10.0,121.0,55.5,M,2.0,478497.2,0.0,3.0
101140098_34485335341_198445,0,2,0,0,0,0.0,40.5,0.0,0.0,0.0,2619274,103714429_67318755132,10.0,128.0,45.0,M,2.0,43195.45,0.0,3.0
101143883_71782939078_772553,0,3,2,2,1,0.0,14.0,19.0,28.0,26.0,3351016,840147601_89549102441,14.0,173.0,41.0,F,3.0,681328.53,6.0,9.0
101228955_33584697901_374290,0,4,1,1,0,0.0,38.25,12.0,183.0,0.0,3055315,134131470_9184043707,5.0,65.0,34.5,F,2.0,66560.69,1.0,5.0
101299207_34352941387_283858,0,1,1,1,1,0.0,4.0,6.0,67.0,59.0,5189898,317454632_88606112725,16.0,193.0,20.5,M,2.0,49238.78,2.0,5.0
10132415_28171840649_223256,0,1,1,1,1,0.0,13.0,33.0,171.0,54.0,2086680,71233106_35990134617,11.0,142.0,64.0,M,2.0,591480.41,5.0,8.0
101356945_38257202995_214098,0,1,0,0,0,0.0,31.0,0.0,0.0,0.0,1113720,346573725_57784604627,19.0,233.0,41.0,U,2.0,44206.41,1.0,4.0
101420660_70864320063_268486,0,1,1,1,1,0.0,12.0,5.0,79.0,76.0,4167905,420905980_25301643471,14.0,169.0,51.5,F,2.0,39263.59,1.0,4.0
10146625_55092448080_942181,0,1,1,1,1,0.0,11.0,7.0,35.0,88.0,7866354,425718091_64742635758,16.0,201.0,52.5,F,2.0,31103.89,3.0,6.0
101587529_99858300359_232850,0,1,0,0,0,0.0,12.0,0.0,0.0,0.0,7619272,264809493_1138215270,7.0,94.0,42.0,U,2.0,82028.04999999999,2.0,5.0
101632251_3972004281_699230,0,2,1,1,0,0.0,21.5,10.0,22.0,0.0,3927920,930292765_85537936933,8.0,106.0,38.0,F,3.0,2058526.24,2.0,6.0
101632913_38542641459_604433,0,2,1,1,1,0.0,74.0,38.0,126.0,25.0,9791984,309920125_3595769418,5.0,70.0,26.0,U,2.0,31587.5,1.0,4.0
101657019_35350936910_130328,0,1,1,1,1,0.0,21.0,13.0,108.0,72.0,1781217,661826812_12127666854,15.0,189.0,39.0,F,2.0,39359.74,3.0,6.0
101715826_97622208061_360008,0,1,1,1,0,0.0,76.0,70.0,55.0,0.0,4906459,941483240_36189204689,20.0,245.0,62.0,F,2.0,39481.2,2.0,5.0
101723155_55190658662_237894,0,1,1,1,1,0.0,9.0,8.0,112.0,87.0,1159819,877640666_56053241187,6.0,79.0,31.5,U,2.0,45053.1,6.0,9.0
101780244_22851723186_748129,0,1,0,0,0,0.0,3.0,0.0,0.0,0.0,4836017,964305508_88456519321,16.0,197.0,61.0,F,2.0,68470.23,6.0,9.0
101815309_16518757746_588210,0,1,1,1,1,0.0,9.0,11.0,23.0,128.0,6017862,238256359_10861789126,14.0,179.0,46.5,F,2.0,61987.4,6.0,9.0
101822764_25803298242_795564,0,1,1,0,0,0.0,23.0,34.0,0.0,0.0,9655476,120240561_31328329933,15.0,191.0,52.0,F,3.0,199628.0,3.0,6.0
101884417_53293783110_925967,0,1,1,0,0,0.0,12.0,35.0,0.0,0.0,1777437,455354993_43123342260,8.0,106.0,32.5,F,3.0,32510.21,6.0,9.0
101886605_42106504820_186284,0,1,1,0,0,0.0,53.0,79.0,0.0,0.0,8875788,378960941_56581832601,24.0,297.0,73.0,F,2.0,1315074.19,5.0,8.0
101943895_86775091670_183092,0,3,2,2,2,0.0,110.33333333333333,16.5,20.0,241.0,159268,435857651_99177186625,22.0,275.0,61.5,M,3.0,212553.62,5.0,8.0
10195285_83113954302_914786,0,2,2,2,1,0.0,8.5,14.5,139.0,69.0,8252266,898405345_38465275930,4.0,57.0,25.5,U,2.0,26387.76,1.0,4.0
101992635_61594742250_953624,0,1,1,1,1,0.0,46.0,16.0,87.0,80.0,6642237,533133791_55495461322,18.0,216.0,52.0,F,2.0,180424.22,6.0,9.0
102011341_65573429752_679025,0,1,1,0,0,0.0,29.0,55.0,0.0,0.0,88378,468856842_41982705828,3.0,47.0,61.0,U,2.0,240872.67,6.0,9.0
10208190_60248923635_552228,0,1,1,0,0,0.0,12.0,6.0,0.0,0.0,3934629,407014213_15103952418,13.0,160.0,35.5,F,2.0,26887.6,0.0,3.0
102087008_74127215915_642470,0,1,1,2,2,0.0,104.0,11.0,142.0,167.5,9009821,65972170_39161386253,4.0,57.0,46.0,U,2.0,44632.09,6.0,9.0
10210243_96284954273_763426,0,1,1,1,0,0.0,16.0,260.0,382.0,0.0,608002,653258052_12229049805,5.0,61.0,35.5,U,2.0,60954.11,3.0,6.0
102107667_79348620618_407005,0,2,1,0,0,0.0,8.5,40.0,0.0,0.0,6363082,772435351_12692323730,13.0,156.0,21.5,M,2.0,99154.51,4.0,7.0
102117430_8358683171_251810,0,1,1,1,1,0.0,10.0,11.0,81.0,275.0,5084415,441532488_80597309270,13.0,161.0,61.5,M,2.0,73946.1,6.0,9.0
102156481_9712246009_751130,0,1,0,0,0,0.0,5.0,0.0,0.0,0.0,1194972,966622100_85225706844,24.0,289.0,30.0,M,5.0,57503.89,6.0,9.0
102172447_66154207246_163667,0,1,0,0,0,0.0,5.0,0.0,0.0,0.0,568717,883634768_20671826333,13.0,163.0,34.0,M,2.0,91550.26,0.0,3.0
102193071_86164823980_207231,0,2,3,0,0,0.0,11.0,220.0,0.0,0.0,1234849,975446448_11997038380,14.0,179.0,58.0,F,2.0,49628.51,5.0,8.0
10219761_62886288888_316058,0,1,0,0,0,0.0,7.0,0.0,0.0,0.0,1695407,604019528_76016984111,8.0,99.0,55.0,U,2.0,61656.99,0.0,3.0
102211813_41749528713_49412,0,2,2,0,0,0.0,13.5,81.0,0.0,0.0,7751403,742290301_16477145929,4.0,59.0,80.0,U,2.0,69690.92,6.0,9.0
102241937_44186923257_675771,0,1,1,1,1,0.0,11.0,4.0,45.0,27.0,2268205,540737277_634402778,35.0,424.0,29.5,F,2.0,54840.92999999999,1.0,4.0
102444768_32769766838_982610,0,1,1,1,1,0.0,47.0,87.0,57.0,215.0,5630016,68149446_32392026512,13.0,164.0,52.5,F,2.0,63081.6,1.0,4.0
102461853_89884307837_366717,0,1,1,1,0,0.0,16.0,6.0,62.0,0.0,5864399,791431109_63866479377,6.0,72.0,40.0,F,2.0,270236.71,1.0,4.0
10250417_54755943070_630567,0,1,0,0,0,0.0,35.0,0.0,0.0,0.0,2967792,701175264_61711359256,21.0,257.0,77.5,F,2.0,30961.68,6.0,9.0
102530721_90592399939_135279,0,7,1,1,1,0.0,74.28571428571429,37.0,66.0,459.0,4196060,13360342_68953053091,22.0,274.0,66.5,F,2.0,292281.4,1.0,4.0
102658008_48118015069_66903,0,3,0,0,0,0.0,169.66666666666666,0.0,0.0,0.0,4503552,42724115_44148773623,6.0,80.0,39.0,U,2.0,89878.54,5.0,8.0
102665060_37915112799_22973,0,1,1,1,1,0.0,60.0,105.0,334.0,192.0,8153325,102175191_41403439474,23.0,280.0,48.5,M,2.0,118419.9,6.0,9.0
102700395_3650299328_241644,0,1,1,1,1,0.0,20.0,7.0,180.0,52.0,7854180,331020193_32814826798,17.0,204.0,52.5,M,2.0,127304.92,6.0,9.0
102711693_32673812507_268789,0,1,1,1,0,0.0,9.0,16.0,91.0,0.0,6383242,125581930_64552285143,15.0,190.0,38.0,M,3.0,183205.79,6.0,9.0
102732284_85491431716_901533,1,1,1,1,1,62.0,47.0,25.0,43.0,364.0,499278,10453819_86409035748,24.0,292.0,55.0,F,3.0,926905.72,5.0,8.0
102801864_49345732746_12571,0,2,1,1,0,0.0,30.5,18.0,144.0,0.0,3548520,595185686_95096488703,18.0,224.0,36.0,M,2.0,41984.87,6.0,9.0
102949387_26784818853_893988,0,1,0,0,0,0.0,26.0,0.0,0.0,0.0,5031420,758092605_85231423705,4.0,58.0,55.0,U,2.0,39678.98,1.0,4.0
103021888_19484517133_523435,0,1,1,1,0,0.0,28.0,40.0,53.0,0.0,5824640,201375377_46287262796,5.0,68.0,55.0,F,3.0,135226.87,5.0,8.0
103049564_53637551445_140548,0,2,2,2,2,0.0,4.0,5.0,201.5,319.5,3482195,98742807_37611107543,23.0,286.0,18.5,F,2.0,55459.16,1.0,4.0
103074110_36036427436_224168,0,1,1,1,2,0.0,42.0,9.0,39.0,267.5,4728164,60169779_5554460423,6.0,72.0,63.5,U,2.0,158691.76,5.0,8.0
103097108_59620739018_675854,0,1,1,1,0,0.0,37.0,75.0,48.0,0.0,1368796,816195789_83256412116,38.0,463.0,71.0,M,2.0,607506.13,5.0,8.0
